model,year,mean_absolute_error,rmse,mean_absolute_error_percentage,absolute_error_percentage_q1,absolute_error_percentage_q3,transaction_count
national,2015,24372.0113380026,38624.77809095895,0.10014452470567023,0.0344525146962963,0.1355260427431533,284396
national,2016,25895.194766835277,39917.616652682766,0.10377845753702741,0.03693183055309937,0.14072760871786702,310933
national,2017,25632.30682023435,39280.12245373317,0.10218049261543405,0.036153425165251094,0.13733205418857294,337134
national,2018,24498.6757891299,37933.55670573989,0.09766876038020103,0.032734539480565164,0.13057718687794345,339453
national,2019,23916.30082134688,37686.183157284664,0.09575227626657745,0.03050689141721826,0.1277681932534891,325842
national,2020,25437.986528210433,40097.33343120459,0.09311988616501708,0.029872479213396606,0.12507025525126897,303356
national,2021,27253.436127159628,42210.037450654876,0.09383467566169046,0.030881636923452,0.12527028304662619,465226
national,2022,30203.40787261995,45372.96908248698,0.10247419419543563,0.035492853050919114,0.1354124033319694,383613
national,2023,29424.945712392997,44666.047905618536,0.10289606843639151,0.032552102788387494,0.1329008181769684,290448
national,2024,29271.980431748598,44420.24019953526,0.09883822831811477,0.03120261187138995,0.1289106120941511,329514
national,2025,51934.57910929343,80808.70429983808,0.17507527327905503,0.053078953726708,0.2220268403052953,293855
area,1997,7914.854146251484,16648.028776372965,0.09849752334808075,0.028135399916793754,0.12676132419332464,37158
area,1998,7476.9933519363785,15385.471929053207,0.09069126364139407,0.025482767359645497,0.10701278175935304,94487
area,1999,8310.200574992316,16200.59136740885,0.09231966988173633,0.027389852325446332,0.11103556620337418,67791
area,2000,10453.079882976943,18965.236890878983,0.10049219760652056,0.03435298864591351,0.12649158293952262,127022
area,2001,9778.525077990833,18036.390567617338,0.09007573468677067,0.02880494046078704,0.1107566691321354,285919
area,2002,13725.453212941778,22092.327044032932,0.1090930464276495,0.0410864925456215,0.14191454570691459,370450
area,2003,14867.133714060674,22947.22951176192,0.11035393260791303,0.04335312963563596,0.14412868170809634,402490
area,2004,15637.46990231042,24379.87115175322,0.1036266872949477,0.03583285730124207,0.13745590851420536,453468
area,2005,15330.984673698104,25062.45615053287,0.09142212346521637,0.03049864540031045,0.11862134547038407,401193
area,2006,16231.521010445043,26600.9930498516,0.08890014625968695,0.02951641283064043,0.1158745134175298,552182
area,2007,18047.511192702066,29491.36952773765,0.09151341301263673,0.030164913567143264,0.11892548135199274,550051
area,2008,20767.342178112194,33235.68284733764,0.1089488164818541,0.03471334721933508,0.14067840691564978,260291
area,2009,25727.414727198597,38144.82025198989,0.1331600251380176,0.04970849674699734,0.17501615157079287,144874
area,2010,19878.389556467017,31996.06515142917,0.09436100728727935,0.030830586005737987,0.12309821749535556,155766
area,2011,23886.702719543155,35772.387086777235,0.11904133483884523,0.04301283032200588,0.15835375134540575,159645
area,2012,21643.239329664102,33655.789346197715,0.10385786477807302,0.03575632137344821,0.14053601878442482,165092
area,2013,21257.01504389037,33914.22318659407,0.09940766330465076,0.032533527817392424,0.13341977500536,212306
area,2014,21841.79332569906,35832.365802242064,0.09318808575541619,0.0313783083055482,0.12501609280695627,272442
area,2015,22208.094658716975,35466.42535387562,0.09167546914312259,0.031165660358317766,0.12227206328657178,284315
area,2016,22894.07012179157,35997.85574196561,0.09203360088859809,0.03193789787978607,0.12303044095836957,310867
area,2017,22111.89769958112,35388.731383354105,0.08849187015512552,0.02905031695814704,0.11720873785649316,337074
area,2018,22218.829345482656,36074.15244550486,0.0881495091996995,0.02765698474643099,0.11631705933578795,339399
area,2019,23118.500206224955,37463.398299985885,0.09173948291324335,0.028735678509287807,0.1207899278026505,325775
area,2020,24502.57836650219,39437.249297353825,0.09005116042734526,0.028237616941178597,0.11890326194930405,303298
area,2021,26632.276347530118,41882.028206576455,0.09207712434684284,0.029904740623189957,0.1213151228507691,465141
area,2022,28648.015815745563,44161.904602396855,0.0978452492723975,0.03197332639739045,0.12731871092475228,383585
area,2023,28475.582600162677,44180.36470792676,0.10117395122641148,0.030060270968028692,0.12809824041611528,290412
area,2024,28637.90340753108,44478.9955142197,0.09804074692648018,0.029209460862286228,0.1244964800035787,329450
area,2025,50703.87044217838,80773.69698810844,0.17321241760491315,0.04980723765671928,0.2125933520171404,293792
